EmployeeId,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition
274,21.0,Travel_Rarely,391.0,Research & Development,15.0,College,Life Sciences,1.0,High,Male,96.0,High,1.0,Research Scientist,Very High,Single,1232.0,19281.000000000004,1.0,Y,No,14.0,Excellent,Very High,80.0,0.0,0.0,6.0,Excellent,0.0,0.0,0.0,0.0,No
275,34.0,Travel_Rarely,204.0000000000001,Sales,14.0,Bachelor,Technical Degree,1.0,High,Female,31.0,High,1.0,Sales Representative,High,Divorced,2579.0,2912.0,1.0,Y,Yes,18.0,Excellent,Very High,80.0,2.0,8.0,3.0,Excellent,8.0,2.0,0.0,6.0,No
276,34.0,Travel_Rarely,665.0,Research & Development,6.0,Master,Other,1.0,Low,Female,41.0,High,2.0,Research Scientist,High,Single,4809.0,12482.0,1.0,Y,No,14.0,Excellent,High,80.0,0.0,16.0,3.0,Excellent,16.0,13.0,2.0,10.0,No
277,39.0,Travel_Rarely,1383.0000000000002,Human Resources,2.0,Bachelor,Life Sciences,1.0,Very High,Female,42.0,Good,2.0,Human Resources,Very High,Married,5204.000000000001,7789.999999999998,8.0,Y,No,11.0,Excellent,High,80.0,2.0,13.0,2.0,Excellent,5.0,4.0,0.0,4.0,No
278,45.0,Travel_Rarely,549.0,Research & Development,8.0,Master,Other,1.0,Very High,Male,75.0,High,2.0,Research Scientist,Very High,Married,3697.0,9278.0,9.0,Y,No,14.0,Excellent,Low,80.0,2.0,12.0,3.0,Excellent,10.0,9.0,9.0,8.0,No
279,31.0,Travel_Frequently,307.0,Research & Development,29.0,College,Medical,1.0,High,Male,71.0,Good,1.0,Laboratory Technician,Good,Single,3479.0,11652.0,0.0,Y,No,11.0,Excellent,Good,80.0,0.0,6.0,2.0,Outstanding,5.0,4.0,1.0,4.0,Yes
280,38.0,Travel_Rarely,1035.0,Sales,3.0,Master,Life Sciences,1.0,Good,Male,42.0,High,2.0,Sales Executive,Very High,Single,6861.000000000001,4980.999999999998,8.0,Y,Yes,12.0,Excellent,High,80.0,0.0,19.0,1.0,Excellent,1.0,0.0,0.0,0.0,No
281,31.0,Travel_Frequently,1327.0,Research & Development,3.0,Master,Medical,1.0,Good,Male,73.0,High,3.0,Research Director,High,Divorced,13675.0,13523.0,9.0,Y,No,12.0,Excellent,Low,80.0,1.0,9.0,3.0,Excellent,2.0,2.0,2.0,2.0,No
282,26.0,Travel_Rarely,991.0,Research & Development,6.0,Bachelor,Life Sciences,1.0,High,Female,71.0,High,1.0,Laboratory Technician,Very High,Married,2659.0,17759.0,1.0,Y,Yes,13.0,Excellent,High,80.0,1.0,3.0,2.0,Excellent,3.0,2.0,0.0,2.0,No
283,30.0,Travel_Rarely,1138.0,Research & Development,6.0,Bachelor,Technical Degree,1.0,Low,Female,48.0,Good,2.0,Laboratory Technician,Very High,Married,4627.0,23631.0,0.0,Y,No,12.0,Excellent,Low,80.0,1.0,10.0,6.0,Excellent,9.0,2.0,6.0,7.0,No
284,34.0,Travel_Rarely,943.0,Research & Development,9.0,Bachelor,Life Sciences,1.0,Very High,Male,86.0,High,3.0,Healthcare Representative,Very High,Divorced,8500.000000000004,5494.000000000002,0.0,Y,No,11.0,Excellent,Very High,80.0,1.0,10.0,0.0,Good,9.0,7.0,1.0,6.0,No
285,35.0,Travel_Rarely,735.0000000000001,Research & Development,6.0,Below College,Life Sciences,1.0,High,Male,66.0,High,1.0,Research Scientist,High,Married,3505.9999999999973,6020.0,0.0,Y,Yes,14.0,Excellent,Very High,80.0,0.0,4.0,3.0,Excellent,3.0,2.0,2.0,2.0,No
286,27.0,Travel_Rarely,1240.0,Research & Development,2.0,Master,Life Sciences,1.0,Very High,Female,33.0,High,1.0,Laboratory Technician,Low,Divorced,2341.0,19715.0,1.0,Y,No,13.0,Excellent,Very High,80.0,1.0,1.0,6.0,Excellent,1.0,0.0,0.0,0.0,No
287,31.0,Travel_Rarely,691.0,Research & Development,5.0,Master,Technical Degree,1.0,High,Male,86.0,High,1.0,Research Scientist,Very High,Married,4821.0,10077.0,0.0,Y,Yes,12.0,Excellent,High,80.0,1.0,6.0,4.0,Excellent,5.0,2.0,0.0,3.0,No
288,39.0,Travel_Frequently,443.0,Research & Development,8.0,Below College,Life Sciences,1.0,High,Female,48.0,High,1.0,Laboratory Technician,High,Married,3755.0,17872.0,1.0,Y,No,11.0,Excellent,Low,80.0,1.0,8.0,3.0,Excellent,8.0,3.0,0.0,7.0,No
289,29.0,Travel_Rarely,1252.0,Research & Development,23.0,College,Life Sciences,1.0,High,Male,81.0,Very High,1.0,Research Scientist,High,Married,2700.0,23779.0,1.0,Y,No,24.0,Outstanding,High,80.0,1.0,10.0,3.0,Excellent,10.0,7.0,0.0,7.0,No
290,29.0,Travel_Rarely,121.0,Sales,27.0,Bachelor,Marketing,1.0,Good,Female,35.0,High,3.0,Sales Executive,Very High,Married,7639.0,24525.0,1.0,Y,No,22.0,Outstanding,Very High,80.0,3.0,10.0,3.0,Good,10.0,4.0,1.0,9.0,Yes
291,44.0,Travel_Rarely,934.9999999999999,Research & Development,3.0,Bachelor,Life Sciences,1.0,Low,Male,89.0,High,1.0,Laboratory Technician,Low,Married,2361.9999999999995,14668.999999999998,4.0,Y,No,12.0,Excellent,High,80.0,0.0,10.0,4.0,Outstanding,3.0,2.0,1.0,2.0,Yes
292,26.0,Travel_Rarely,841.0,Research & Development,6.0,Bachelor,Other,1.0,High,Female,46.0,Good,1.0,Research Scientist,Good,Married,2368.0,23300.0,1.0,Y,No,19.0,Excellent,High,80.0,0.0,5.0,3.0,Good,5.0,4.0,4.0,3.0,No
293,48.0,Travel_Rarely,163.0000000000001,Sales,2.0,Doctor,Marketing,1.0,Good,Female,37.0,High,2.0,Sales Executive,Very High,Married,4051.0,19658.0,2.0,Y,No,14.0,Excellent,Low,80.0,1.0,14.0,2.0,Excellent,9.0,7.0,6.0,7.0,No
294,38.0,Travel_Rarely,364.0000000000003,Research & Development,3.0,Doctor,Technical Degree,1.0,Very High,Female,32.0,High,2.0,Research Scientist,High,Single,4317.0,2302.0,3.0,Y,Yes,20.0,Outstanding,Good,80.0,0.0,19.0,2.0,Excellent,3.0,2.0,2.0,2.0,No
295,23.0,Travel_Rarely,1243.0,Research & Development,6.0,Bachelor,Life Sciences,1.0,High,Male,63.0,Very High,1.0,Laboratory Technician,Low,Married,1600.9999999999995,3445.0,1.0,Y,Yes,21.0,Outstanding,High,80.0,2.0,1.0,2.0,Excellent,0.0,0.0,0.0,0.0,Yes
296,50.0,Travel_Rarely,939.0,Research & Development,24.0,Bachelor,Life Sciences,1.0,Very High,Male,95.0,High,4.0,Manufacturing Director,High,Married,13973.000000000005,4161.0,3.0,Y,Yes,18.0,Excellent,Very High,80.0,1.0,22.0,2.0,Excellent,12.0,11.0,1.0,5.0,No
297,37.0,Travel_Rarely,1189.0,Sales,3.0,Bachelor,Life Sciences,1.0,High,Male,87.0,High,3.0,Sales Executive,Very High,Single,7428.0,14506.0,2.0,Y,No,12.0,Excellent,Low,80.0,0.0,12.0,3.0,Excellent,5.0,3.0,1.0,3.0,No
298,31.0,Travel_Rarely,1398.0,Human Resources,8.0,College,Medical,1.0,Very High,Female,96.0,Very High,1.0,Human Resources,Good,Single,2109.0,24609.0,9.0,Y,No,18.0,Excellent,Very High,80.0,0.0,8.0,3.0,Excellent,3.0,2.0,0.0,2.0,No
299,49.0,Travel_Rarely,1184.0,Sales,11.0,Bachelor,Marketing,1.0,High,Female,43.0,High,3.0,Sales Executive,Very High,Married,7654.0,5860.0,1.0,Y,No,18.0,Excellent,Low,80.0,2.0,9.0,3.0,Outstanding,9.0,8.0,7.0,7.0,Yes
300,34.0,Travel_Frequently,135.0,Research & Development,19.0,Bachelor,Medical,1.0,High,Female,46.0,High,2.0,Laboratory Technician,Good,Divorced,4444.0,22534.0,4.0,Y,No,13.0,Excellent,High,80.0,2.0,15.0,2.0,Outstanding,11.0,8.0,5.0,10.0,No
301,41.0,Travel_Rarely,1102.0,Sales,1.0,College,Life Sciences,1.0,Good,Female,94.0,High,2.0,Sales Executive,Very High,Single,5993.0,19479.0,8.0,Y,Yes,11.0,Excellent,Low,80.0,0.0,8.0,0.0,Low,6.0,4.0,0.0,5.0,Yes
302,34.0,Travel_Rarely,970.0,Research & Development,8.0,College,Medical,1.0,Good,Female,96.0,High,2.0,Healthcare Representative,High,Single,6142.0,7359.999999999999,3.0,Y,No,11.0,Excellent,Very High,80.0,0.0,10.0,2.0,Excellent,5.0,1.0,4.0,3.0,No
303,39.0,Travel_Frequently,505.00000000000006,Research & Development,2.0,Master,Technical Degree,1.0,High,Female,64.0,High,3.0,Healthcare Representative,High,Single,10938.0,6420.0,0.0,Y,No,25.0,Outstanding,Very High,80.0,0.0,20.0,1.0,Excellent,19.0,6.0,11.0,8.0,No
304,32.0,Travel_Frequently,1125.0,Research & Development,16.0,Below College,Life Sciences,1.0,Good,Female,72.0,Low,1.0,Research Scientist,Low,Single,3919.0,4681.0,1.0,Y,Yes,22.0,Outstanding,Good,80.0,0.0,10.0,5.0,Excellent,10.0,2.0,6.0,7.0,Yes
305,37.0,Travel_Frequently,889.0,Research & Development,9.0,Bachelor,Medical,1.0,Good,Male,53.0,High,1.0,Research Scientist,Very High,Married,2326.0,11411.0,1.0,Y,Yes,12.0,Excellent,High,80.0,3.0,4.0,3.0,Good,4.0,2.0,1.0,2.0,No
306,30.0,Travel_Rarely,138.0,Research & Development,22.0,Bachelor,Life Sciences,1.0,Low,Female,48.0,High,1.0,Research Scientist,High,Married,2131.9999999999995,11539.0,4.0,Y,Yes,11.0,Excellent,Good,80.0,0.0,7.0,2.0,Excellent,5.0,2.0,0.0,1.0,Yes
307,55.0,Travel_Rarely,452.0000000000001,Research & Development,1.0,Bachelor,Medical,1.0,Very High,Male,81.0,High,5.0,Manager,Low,Single,19045.0,18938.0,0.0,Y,Yes,14.0,Excellent,High,80.0,0.0,37.0,2.0,Excellent,36.00000000000006,10.0,4.0,13.0,No
308,37.0,Travel_Rarely,1225.0,Research & Development,10.0,College,Life Sciences,1.0,Very High,Male,80.0,Very High,1.0,Research Scientist,Very High,Single,4680.0,15232.0,3.0,Y,No,17.0,Excellent,Low,80.0,0.0,4.0,2.0,Excellent,1.0,0.0,0.0,0.0,No
309,35.0,Travel_Rarely,618.9999999999999,Sales,1.0,Bachelor,Marketing,1.0,Good,Male,85.0,High,2.0,Sales Executive,High,Married,4717.0,18659.0,9.0,Y,No,11.0,Excellent,High,80.0,0.0,15.0,2.0,Excellent,11.0,9.0,6.0,9.0,No
310,46.0,Travel_Frequently,638.0,Research & Development,1.0,Bachelor,Medical,1.0,High,Male,40.0,Good,3.0,Healthcare Representative,Low,Married,10673.0,3142.0,2.0,Y,Yes,13.0,Excellent,High,80.0,1.0,21.0,5.0,Good,10.0,9.0,9.0,5.0,No
311,36.0,Travel_Rarely,922.0,Research & Development,3.0,College,Life Sciences,1.0,Low,Female,39.0,High,1.0,Laboratory Technician,Very High,Divorced,2835.0,2561.0,5.0,Y,No,22.0,Outstanding,Low,80.0,1.0,7.0,2.0,Excellent,1.0,0.0,0.0,0.0,No
312,24.0,Non-Travel,1269.0,Research & Development,4.0,Below College,Life Sciences,1.0,Low,Male,46.0,Good,1.0,Laboratory Technician,Very High,Married,3162.0,10778.0,0.0,Y,No,17.0,Excellent,Very High,80.0,0.0,6.0,2.0,Good,5.0,2.0,3.0,4.0,No
313,50.0,Travel_Rarely,1464.0,Research & Development,2.0,Master,Medical,1.0,Good,Male,62.0,High,5.0,Research Director,High,Married,19237.0,12853.0,2.0,Y,Yes,11.0,Excellent,Very High,80.0,1.0,29.0,2.0,Good,8.0,1.0,7.0,7.0,No
314,32.0,Non-Travel,1184.0,Research & Development,1.0,Bachelor,Life Sciences,1.0,High,Female,70.0,Good,1.0,Laboratory Technician,Good,Married,2331.9999999999995,3974.0,6.0,Y,No,20.0,Outstanding,High,80.0,0.0,5.0,3.0,Excellent,3.0,0.0,0.0,2.0,No
315,34.0,Travel_Rarely,121.0,Research & Development,2.0,Master,Medical,1.0,High,Female,86.0,Good,1.0,Research Scientist,Low,Single,4381.0,7530.0,1.0,Y,No,11.0,Excellent,High,80.0,0.0,6.0,3.0,Excellent,6.0,5.0,1.0,3.0,No
316,26.0,Travel_Rarely,652.0,Research & Development,7.0,Bachelor,Other,1.0,High,Male,100.0,Very High,1.0,Laboratory Technician,Low,Single,3577.999999999999,23577.0,0.0,Y,No,12.0,Excellent,Very High,80.0,0.0,8.0,2.0,Excellent,7.0,7.0,0.0,7.0,No
317,33.0,Travel_Frequently,1141.0,Sales,1.0,Bachelor,Life Sciences,1.0,High,Female,42.0,Very High,2.0,Sales Executive,Low,Married,5376.0,3193.0,2.0,Y,No,19.0,Excellent,Low,80.0,2.0,10.0,3.0,Excellent,5.0,3.0,1.0,3.0,No
318,38.0,Travel_Frequently,1391.0000000000002,Research & Development,10.0,Below College,Medical,1.0,High,Male,66.0,High,1.0,Research Scientist,High,Married,2684.0,12127.0,0.0,Y,No,17.0,Excellent,Good,80.0,1.0,3.0,0.0,Good,2.0,1.0,0.0,2.0,No
319,37.0,Travel_Rarely,1462.0,Research & Development,11.0,Bachelor,Medical,1.0,Low,Female,94.0,High,1.0,Laboratory Technician,High,Single,3628.9999999999995,19106.0,4.0,Y,No,18.0,Excellent,Low,80.0,0.0,8.0,6.0,Excellent,3.0,2.0,0.0,2.0,No
320,35.0,Travel_Rarely,1276.0,Research & Development,16.0,Bachelor,Life Sciences,1.0,Very High,Male,72.0,High,3.0,Healthcare Representative,High,Married,7632.0,14295.000000000004,4.0,Y,Yes,12.0,Excellent,High,80.0,0.0,10.0,2.0,Excellent,8.0,7.0,0.0,0.0,No
321,32.0,Travel_Rarely,128.0,Research & Development,2.0,Below College,Technical Degree,1.0,Very High,Male,84.0,Good,2.0,Laboratory Technician,Low,Single,2176.0,19737.0,4.0,Y,No,13.0,Excellent,Very High,80.0,0.0,9.0,5.0,Excellent,6.0,2.0,0.0,4.0,No
322,38.0,Travel_Frequently,240.00000000000023,Research & Development,2.0,Master,Life Sciences,1.0,Low,Female,75.0,Very High,2.0,Manufacturing Director,Low,Single,5980.0,26084.999999999993,6.0,Y,Yes,12.0,Excellent,Very High,80.0,0.0,17.0,2.0,Excellent,15.0,7.0,4.0,12.0,No
323,39.0,Travel_Rarely,117.0,Research & Development,10.0,Below College,Medical,1.0,High,Male,99.0,High,4.0,Manager,Low,Married,17068.0,5354.999999999998,1.0,Y,Yes,14.0,Excellent,Very High,80.0,0.0,21.0,3.0,Excellent,21.0,9.0,11.0,10.0,No
324,33.0,Travel_Rarely,117.0,Research & Development,9.0,Bachelor,Medical,1.0,Low,Male,60.0,High,1.0,Research Scientist,Very High,Married,2781.0,6311.0,0.0,Y,No,13.0,Excellent,Good,80.0,1.0,15.0,5.0,Excellent,14.0,10.0,4.0,10.0,No
325,59.0,Travel_Rarely,326.0000000000001,Sales,3.0,Bachelor,Life Sciences,1.0,High,Female,48.0,Good,2.0,Sales Executive,Very High,Single,5171.0,16490.0,5.0,Y,No,17.0,Excellent,Very High,80.0,0.0,13.0,2.0,Excellent,6.0,1.0,0.0,5.0,No
326,36.0,Travel_Rarely,928.0,Sales,1.0,College,Life Sciences,1.0,Good,Male,56.0,High,2.0,Sales Executive,Very High,Married,6200.999999999999,2823.0,1.0,Y,Yes,14.0,Excellent,Very High,80.0,1.0,18.0,1.0,Good,18.0,14.0,4.0,11.0,No
327,37.0,Travel_Frequently,663.0,Research & Development,11.0,Bachelor,Other,1.0,Good,Male,47.0,High,3.0,Research Director,Very High,Divorced,12184.999999999967,10056.0,1.0,Y,Yes,14.0,Excellent,High,80.0,3.0,10.0,1.0,Excellent,10.0,8.0,0.0,7.0,No
328,28.0,Travel_Rarely,1117.0,Research & Development,8.0,College,Life Sciences,1.0,Very High,Female,66.0,High,1.0,Research Scientist,Very High,Single,3310.0,4488.0000000000055,1.0,Y,No,21.0,Outstanding,Very High,80.0,0.0,5.0,3.0,Excellent,5.0,3.0,0.0,2.0,No
329,49.0,Travel_Rarely,1245.0,Research & Development,18.0,Master,Life Sciences,1.0,Very High,Male,58.0,Good,5.0,Research Director,High,Divorced,19501.999999999996,2125.0,1.0,Y,Yes,17.0,Excellent,High,80.0,1.0,31.0,5.0,Excellent,31.0,9.0,0.0,9.0,No
330,34.0,Travel_Rarely,254.0,Research & Development,1.0,College,Life Sciences,1.0,Good,Male,83.0,Good,1.0,Research Scientist,Very High,Married,3621.9999999999995,22794.0,1.0,Y,Yes,13.0,Excellent,Very High,80.0,1.0,6.0,3.0,Excellent,6.0,5.0,1.0,3.0,No
331,35.0,Travel_Rarely,1204.0,Sales,4.0,Bachelor,Technical Degree,1.0,Very High,Male,86.0,High,3.0,Sales Executive,Low,Single,9582.0,10333.0,0.0,Y,Yes,22.0,Outstanding,Low,80.0,0.0,9.0,2.0,Excellent,8.0,7.0,4.0,7.0,Yes
332,27.0,Travel_Frequently,994.0,Sales,8.0,Bachelor,Life Sciences,1.0,Very High,Male,37.0,High,3.0,Sales Executive,High,Single,8726.0,2975.0,1.0,Y,No,15.0,Excellent,Very High,80.0,0.0,9.0,0.0,Excellent,9.0,8.0,1.0,7.0,No
333,48.0,Travel_Rarely,1355.0,Research & Development,4.0,Master,Life Sciences,1.0,High,Male,78.0,Good,3.0,Healthcare Representative,High,Single,10999.000000000004,22245.0,7.0,Y,No,14.0,Excellent,Good,80.0,0.0,27.0,3.0,Excellent,15.0,11.0,4.0,8.0,No
334,41.0,Travel_Rarely,933.0,Research & Development,9.0,Master,Life Sciences,1.0,High,Male,94.0,High,1.0,Laboratory Technician,Low,Married,2238.0,6961.0,2.0,Y,No,21.0,Outstanding,Very High,80.0,1.0,7.0,2.0,Excellent,5.0,0.0,1.0,4.0,No
335,36.0,Travel_Frequently,469.0,Research & Development,3.0,Bachelor,Technical Degree,1.0,High,Male,46.0,High,1.0,Research Scientist,Good,Married,3692.0,9256.0,1.0,Y,No,12.0,Excellent,High,80.0,0.0,12.0,2.0,Good,11.0,10.0,0.0,7.0,No
336,40.0,Non-Travel,1151.0,Research & Development,9.0,Doctor,Life Sciences,1.0,Very High,Male,63.0,Good,2.0,Healthcare Representative,Very High,Married,4876.0,14242.0,9.0,Y,No,14.0,Excellent,Very High,80.0,1.0,5.0,5.0,Low,3.0,2.0,0.0,2.0,No
337,31.0,Travel_Rarely,746.0,Research & Development,8.0,Master,Life Sciences,1.0,High,Female,61.0,High,2.0,Manufacturing Director,Very High,Single,4424.0,20682.0,1.0,Y,No,23.0,Outstanding,Very High,80.0,0.0,11.0,2.0,Excellent,11.0,7.0,1.0,8.0,No
338,20.0,Travel_Rarely,1362.0,Research & Development,10.0,Below College,Medical,1.0,Very High,Male,32.0,High,1.0,Research Scientist,High,Single,1008.9999999999995,26999.0,1.0,Y,Yes,11.0,Excellent,Very High,80.0,0.0,1.0,5.0,Excellent,1.0,0.0,1.0,1.0,Yes
339,36.0,Travel_Rarely,318.0,Research & Development,9.0,Bachelor,Medical,1.0,Very High,Male,79.0,Good,1.0,Research Scientist,High,Married,3387.999999999999,21777.0,0.0,Y,Yes,17.0,Excellent,Low,80.0,1.0,2.0,0.0,Good,1.0,0.0,0.0,0.0,Yes
340,35.0,Travel_Frequently,944.0,Sales,1.0,Bachelor,Marketing,1.0,High,Female,92.0,High,3.0,Sales Executive,High,Single,8789.0,9096.0,1.0,Y,No,14.0,Excellent,Low,80.0,0.0,10.0,3.0,Outstanding,10.0,7.0,0.0,8.0,No
341,24.0,Travel_Rarely,1206.0,Research & Development,17.0,Below College,Medical,1.0,Very High,Female,41.0,Good,2.0,Manufacturing Director,High,Divorced,4377.0,24117.0,1.0,Y,No,15.0,Excellent,Good,80.0,2.0,5.0,6.0,Excellent,4.0,2.0,3.0,2.0,No
342,23.0,Travel_Rarely,372.9999999999999,Research & Development,1.0,College,Life Sciences,1.0,Very High,Male,47.0,High,1.0,Research Scientist,High,Married,1223.0,16901.0,1.0,Y,No,22.0,Outstanding,Very High,80.0,1.0,1.0,2.0,Excellent,1.0,0.0,0.0,1.0,No
343,28.0,Travel_Rarely,1476.0,Research & Development,16.0,College,Medical,1.0,Good,Male,68.0,Very High,2.0,Healthcare Representative,Low,Single,5661.0,4824.0,0.0,Y,No,19.0,Excellent,High,80.0,0.0,9.0,2.0,Excellent,8.0,3.0,0.0,7.0,No
344,60.0,Travel_Rarely,1179.0,Sales,16.0,Master,Marketing,1.0,Low,Male,84.0,High,2.0,Sales Executive,Low,Single,5405.0,11924.0,8.0,Y,No,14.0,Excellent,Very High,80.0,0.0,10.0,1.0,Excellent,2.0,2.0,2.0,2.0,No
345,47.0,Travel_Frequently,1379.0,Research & Development,16.0,Master,Medical,1.0,High,Male,64.0,Very High,2.0,Manufacturing Director,High,Divorced,5067.0,6759.000000000001,1.0,Y,Yes,19.0,Excellent,High,80.0,0.0,20.0,3.0,Outstanding,19.0,10.0,2.0,7.0,No
346,41.0,Travel_Rarely,427.00000000000006,Human Resources,10.0,Master,Human Resources,1.0,Good,Male,73.0,Good,5.0,Manager,Very High,Divorced,19141.0,8861.0,3.0,Y,No,15.0,Excellent,Good,80.0,3.0,23.0,2.0,Good,21.0,6.0,12.0,6.0,No
347,24.0,Travel_Rarely,477.0,Research & Development,24.0,Bachelor,Medical,1.0,Very High,Male,49.0,High,1.0,Laboratory Technician,Good,Single,3597.0,6408.999999999998,8.0,Y,No,22.0,Outstanding,Very High,80.0,0.0,6.0,2.0,Excellent,4.0,3.0,1.0,2.0,No
348,29.0,Travel_Rarely,1086.0,Research & Development,7.0,Below College,Medical,1.0,Low,Female,62.0,Good,1.0,Laboratory Technician,Very High,Divorced,2531.9999999999995,6054.000000000002,6.0,Y,No,14.0,Excellent,High,80.0,3.0,8.0,5.0,Excellent,4.0,3.0,0.0,3.0,No
349,37.0,Travel_Frequently,504.0,Research & Development,10.0,Bachelor,Medical,1.0,Low,Male,61.0,High,3.0,Manufacturing Director,High,Divorced,10048.0,22573.0,6.0,Y,No,11.0,Excellent,Good,80.0,2.0,17.0,5.0,Excellent,1.0,0.0,0.0,0.0,Yes
350,55.0,Travel_Frequently,135.0,Research & Development,18.0,Master,Medical,1.0,High,Male,62.0,High,2.0,Healthcare Representative,Good,Married,6385.0,12992.0,3.0,Y,Yes,14.0,Excellent,Very High,80.0,2.0,17.0,3.0,Excellent,8.0,7.0,6.0,7.0,No
351,30.0,Travel_Rarely,852.0,Research & Development,1.0,Below College,Life Sciences,1.0,Very High,Male,55.0,Good,2.0,Laboratory Technician,Very High,Married,5126.0,15998.0,1.0,Y,Yes,12.0,Excellent,High,80.0,2.0,10.0,1.0,Good,10.0,8.0,3.0,0.0,No
352,26.0,Travel_Rarely,703.0,Sales,28.0,College,Marketing,1.0,Low,Male,66.0,High,2.0,Sales Executive,Good,Married,6272.0,7428.000000000003,1.0,Y,No,20.0,Outstanding,Very High,80.0,2.0,6.0,5.0,Outstanding,5.0,3.0,1.0,4.0,No
353,29.0,Travel_Rarely,318.0,Research & Development,8.0,Master,Other,1.0,Good,Male,77.0,Low,1.0,Laboratory Technician,Low,Married,2119.0,4759.0,1.0,Y,Yes,11.0,Excellent,Very High,80.0,0.0,7.0,4.0,Good,7.0,7.0,0.0,7.0,Yes
354,25.0,Travel_Rarely,688.0,Research & Development,3.0,Bachelor,Medical,1.0,Low,Male,91.0,High,1.0,Laboratory Technician,Low,Married,4031.0,9395.999999999996,5.0,Y,No,13.0,Excellent,High,80.0,1.0,6.0,5.0,Excellent,2.0,2.0,0.0,2.0,Yes
355,37.0,Travel_Rarely,1107.0,Research & Development,14.0,Bachelor,Life Sciences,1.0,Very High,Female,95.0,High,1.0,Laboratory Technician,Low,Divorced,3034.0,26914.0,1.0,Y,No,12.0,Excellent,High,80.0,1.0,18.0,2.0,Good,18.0,7.0,12.0,17.0,No
356,36.0,Travel_Rarely,1278.0,Human Resources,8.0,Bachelor,Life Sciences,1.0,Low,Male,77.0,Good,1.0,Human Resources,Low,Married,2342.0,8635.0,0.0,Y,No,21.0,Outstanding,High,80.0,0.0,6.0,3.0,Excellent,5.0,4.0,0.0,3.0,No
357,41.0,Non-Travel,906.0,Research & Development,5.0,College,Life Sciences,1.0,Low,Male,95.0,Good,1.0,Research Scientist,Low,Divorced,2107.0,20293.0,6.0,Y,No,17.0,Excellent,Low,80.0,1.0,5.0,2.0,Low,1.0,0.0,0.0,0.0,Yes
358,36.0,Travel_Rarely,1174.0,Sales,3.0,Master,Marketing,1.0,Low,Female,99.0,High,2.0,Sales Executive,Good,Single,9278.000000000004,20763.000000000004,3.0,Y,Yes,16.0,Excellent,Very High,80.0,0.0,15.0,3.0,Excellent,5.0,4.0,0.0,1.0,No
359,38.0,Travel_Rarely,1333.0,Research & Development,1.0,Bachelor,Technical Degree,1.0,Very High,Female,80.0,High,3.0,Research Director,Low,Married,13582.0,16292.0,1.0,Y,No,13.0,Excellent,Good,80.0,1.0,15.0,3.0,Excellent,15.0,12.0,5.0,11.0,No
360,38.0,Travel_Rarely,361.9999999999999,Research & Development,1.0,Below College,Life Sciences,1.0,High,Female,43.0,High,1.0,Research Scientist,Low,Single,2619.0000000000005,14560.999999999998,3.0,Y,No,17.0,Excellent,Very High,80.0,0.0,8.0,3.0,Good,0.0,0.0,0.0,0.0,No
361,51.0,Travel_Rarely,1318.0,Sales,26.0,Master,Marketing,1.0,Low,Female,66.0,High,4.0,Manager,High,Married,16307.000000000004,5594.0,2.0,Y,No,14.0,Excellent,High,80.0,1.0,29.0,2.0,Good,20.0,6.0,4.0,17.0,No
362,37.0,Travel_Rarely,1319.0,Research & Development,6.0,Bachelor,Medical,1.0,High,Male,51.0,Very High,2.0,Research Scientist,Low,Divorced,5974.0,17001.0,4.0,Y,Yes,13.0,Excellent,Low,80.0,2.0,13.0,2.0,Excellent,7.0,7.0,6.0,7.0,No
363,20.0,Travel_Frequently,871.0,Research & Development,6.0,Bachelor,Life Sciences,1.0,Very High,Female,66.0,Good,1.0,Laboratory Technician,Very High,Single,2926.0,19783.0,1.0,Y,Yes,18.0,Excellent,Good,80.0,0.0,1.0,5.0,Excellent,1.0,0.0,1.0,0.0,Yes
364,45.0,Travel_Rarely,974.0000000000001,Research & Development,1.0,Master,Medical,1.0,Very High,Female,91.0,High,1.0,Laboratory Technician,Very High,Divorced,2269.9999999999995,11005.0,3.0,Y,No,14.0,Excellent,Very High,80.0,2.0,8.0,2.0,Excellent,5.0,3.0,0.0,2.0,No
365,24.0,Travel_Rarely,984.0,Research & Development,17.0,College,Life Sciences,1.0,Very High,Female,97.0,High,1.0,Laboratory Technician,Good,Married,2209.9999999999995,3372.0,1.0,Y,No,13.0,Excellent,Low,80.0,1.0,1.0,3.0,Low,1.0,0.0,0.0,0.0,Yes
366,52.0,Travel_Rarely,956.0,Research & Development,6.0,College,Technical Degree,1.0,Very High,Male,78.0,High,2.0,Research Scientist,Low,Divorced,5577.0,22087.0,3.0,Y,Yes,12.0,Excellent,Good,80.0,2.0,18.0,3.0,Excellent,10.0,9.0,6.0,9.0,No
